amount,date,bank,sbank,,,,,
220000,20160222,招商银行,招商,,,,,
30006000,20160222,中国建设银行,建行,,,,,
2000000,20160222,中国农业银行,农行,,,,,
5000000,20160222,中国工商银行,工行,,,,,
12000000,20160222,中国农业银行,农行,,,,,
30820000,20160222,中国建设银行,建行,,,,,
400000000,20160222,招商银行,招商,,,,,
500000,20160222,中国农业银行,农行,,,,,
253118,20160222,招商银行,招商,,,,,
1300000,20160222,招商银行,招商,,,,,
1000000,20160223,招商银行,招商,,,,,
1000000,20160223,招商银行,招商,,,,,
60000,20160223,中国银行,中行,,,,,
1500000,20160223,兴业银行,兴业,,,,,
20000,20160223,交通银行,交行,,,,,
71000000,20160223,中国工商银行,工行,,,,,
3300000,20160223,平安银行,平安,,,,,
280000,20160223,平安银行,平安,,,,,
22000000,20160223,中国工商银行,工行,,,,,
12000000,20160223,其他银行,其它,,,,,
3000000,20160223,中国工商银行,工行,,,,,
22000000,20160223,其他银行,其它,,,,,
450000,20160223,中国工商银行,工行,,,,,
1000000,20160223,招商银行,招商,,,,,
1000000,20160223,招商银行,招商,,,,,
200000,20160223,中国工商银行,工行,,,,,
500000,20160223,招商银行,招商,,,,,
9000000,20160223,中国工商银行,工行,,,,,
50000000,20160224,平安银行,平安,,,,,
5000000,20160224,招商银行,招商,,,,,
850000,20160224,中国工商银行,工行,,,,,
270000000,20160224,上海浦东发展银行,浦发,,,,,
279000000,20160224,上海浦东发展银行,浦发,,,,,
450000,20160224,中国工商银行,工行,,,,,
70000,20160224,招商银行,招商,,,,,
100000,20160224,招商银行,招商,,,,,
500000,20160224,招商银行,招商,,,,,
500000,20160224,招商银行,招商,,,,,
500000,20160224,招商银行,招商,,,,,
500000,20160224,招商银行,招商,,,,,
500000,20160224,招商银行,招商,,,,,
800000,20160224,中国工商银行,工行,,,,,
18000000,20160224,中国建设银行,建行,,,,,
20000000,20160224,交通银行,交行,,,,,
50000,20160224,中国工商银行,工行,,,,,
14500000,20160224,中国工商银行,工行,,,,,
1654000,20160224,平安银行,平安,,,,,
500000,20160224,招商银行,招商,,,,,
3000000,20160224,中国工商银行,工行,,,,,
50000,20160225,招商银行,招商,,,,,
500000,20160225,招商银行,招商,,,,,
100000,20160225,中信银行,中信,,,,,
1000000,20160225,兴业银行,兴业,,,,,
3000000,20160225,其他银行,其它,,,,,
208240000,20160225,其他银行,其它,,,,,
400000,20160225,招商银行,招商,,,,,
2090000,20160225,平安银行,平安,,,,,
270000,20160225,中信银行,中信,,,,,
2664379.08,20160225,招商银行,招商,,,,,
4305742.33,20160225,其他银行,其它,,,,,
5000000,20160225,其他银行,其它,,,,,
5000000,20160225,其他银行,其它,,,,,
5000000,20160225,其他银行,其它,,,,,
